epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9833,1.54149,2.83597,1.90489,0.00297,0.91753,0.13086,0.04755,2.60478,3.84358,3.24806,0.00048,0.00048,0.00048
2,21.6048,1.53221,2.43399,1.87153,0.20172,0.02062,0.12854,0.03318,2.46909,3.81123,3.43005,0.00093149,0.00093149,0.00093149
3,31.7846,1.5878,2.3124,1.91652,0.20794,0.24742,0.20788,0.06003,2.66449,3.60976,4.72816,0.00133348,0.00133348,0.00133348
4,40.7555,1.67256,2.23788,2.00507,0.09959,0.14433,0.0399,0.00854,3.45473,3.58126,4.95278,0.00168597,0.00168597,0.00168597
5,50.3989,1.66569,2.18265,1.96284,0.13362,0.31959,0.11227,0.02677,3.03033,8.30229,4.85802,0.001604,0.001604,0.001604
6,60.4074,1.63529,2.11384,1.95376,0.11554,0.25773,0.09585,0.02267,2.93717,3.94283,4.19971,0.001505,0.001505,0.001505
7,68.6792,1.56851,1.99322,1.90488,0.22986,0.34021,0.22544,0.0766,2.13694,3.98551,3.04184,0.001406,0.001406,0.001406
8,78.7812,1.47985,1.89696,1.81779,0.2466,0.43299,0.23304,0.08461,2.10442,2.22257,2.9342,0.001307,0.001307,0.001307
9,88.809,1.46791,1.80573,1.79009,0.36931,0.50515,0.3733,0.13806,1.84655,2.06703,2.46697,0.001208,0.001208,0.001208
10,97.0671,1.44204,1.774,1.79159,0.36767,0.37113,0.3238,0.0951,2.24994,2.3379,2.83636,0.001109,0.001109,0.001109
11,108.6,1.50669,1.96256,2.14163,0.52905,0.64856,0.47789,0.2217,1.84067,1.9064,2.51931,0.00101,0.00101,0.00101
12,118.32,1.34742,1.63822,1.9963,0.68131,0.75258,0.73772,0.3526,1.69065,1.93357,2.33222,0.000911,0.000911,0.000911
13,126.229,1.29316,1.4528,1.89621,0.77505,0.79381,0.83286,0.4937,1.41866,1.43826,1.99944,0.000812,0.000812,0.000812
14,136.359,1.20671,1.40033,1.78665,0.76815,0.76289,0.80464,0.41997,1.57079,1.40861,2.23185,0.000713,0.000713,0.000713
15,147.588,1.20187,1.30257,1.79169,0.81245,0.75923,0.85348,0.52957,1.37349,1.29024,1.96776,0.000614,0.000614,0.000614
16,155.691,1.08245,1.16394,1.6782,0.94206,0.8381,0.94436,0.62928,1.26103,1.13657,1.8297,0.000515,0.000515,0.000515
17,165.376,1.07626,1.09234,1.64914,0.88749,0.89459,0.94628,0.67184,1.08878,1.03376,1.70013,0.000416,0.000416,0.000416
18,173.68,1.01227,1.05909,1.6293,0.94912,0.8866,0.94848,0.68127,1.07503,0.97693,1.6747,0.000317,0.000317,0.000317
19,182.774,0.95192,1.01091,1.54308,0.90974,0.91753,0.95565,0.68183,1.04227,0.99204,1.60232,0.000218,0.000218,0.000218
20,192.566,0.88354,0.95664,1.49019,0.94748,0.92993,0.97141,0.72209,0.98735,0.90554,1.56426,0.000119,0.000119,0.000119
